year,cod,herring,sprat,fishing_cod,fishing_herring,fishing_sprat
1993,44897,737356,1359874,0.010858542350443146,0.004815158589735913,0.004815158589735913
1994,46747,765115,1374536,0.00779402753435221,0.003546696749189837,0.003546696749189837
1995,43851,635509,1429273,0.007041364474029699,0.0025494674326795863,0.0025494674326795863
1996,37655,542472,1810664,0.004799032952188975,0.0028714971617792573,0.0028714971617792573
1997,31290,514546,1777351,0.003457855047131253,0.0028878850874684003,0.0028878850874684003
1998,37444,503665,1354279,0.002971268558147333,0.0024353254038752548,0.0024353254038752548
1999,41579,432067,1353142,0.0036024947729740298,0.0029359546537343073,0.0029359546537343073
2000,45022,465570,1319480,0.002815793884600848,0.003032672682621307,0.003032672682621307
2001,42601,427422,1196067,0.0034876409142259313,0.0028812536079872997,0.0028812536079872997
2002,45497,423069,941687,0.004761009362506674,0.0030098024046164573,0.0030098024046164573
2003,42952,450973,829401,0.004598557651930513,0.0024923350410445133,0.0024923350410445133
2004,43558,464249,1039897,0.004621829500453978,0.0021576227284192395,0.0021576227284192395
2005,58686,522010,1323787,0.005437494762375872,0.0024566931824415716,0.0024566931824415716
2006,63841,563134,1055054,0.005793492142674439,0.002823847273265234,0.002823847273265234
2007,73258,581928,898520,0.00737332371216759,0.0023179277814310284,0.0023179277814310284
2008,85425,573575,921356,0.007825403801271502,0.0022252455073779043,0.0022252455073779043
2009,91270,675977,827502,0.007581801380383779,0.0017215689344347584,0.0017215689344347584
2010,96459,626310,948469,0.007645756362090861,0.0022337497310468413,0.0022337497310468413
2011,92465,580197,751793,0.0061288884791737,0.0024194595095478055,0.0024194595095478055
2012,89225,577598,694064,0.0056844816695850175,0.002425982720373865,0.002425982720373865
2013,97957,662182,705941,0.005984330000760374,0.0025240121476739485,0.0025240121476739485
2014,107690,731276,620201,0.00537125840834729,0.0023140645937694826,0.0023140645937694826
2015,96824,666708,680116,0.005982927470533639,0.0026851379613522797,0.0026851379613522797
2016,79855,701299,1077338,0.00618057157923424,0.0026180280582085436,0.0026180280582085436
2017,60704,751926,1095387,0.005867396042984585,0.0025695535401744074,0.0025695535401744074
2018,53040,730963,982209,0.0062658617688280405,0.0032838793618960027,0.0032838793618960027
2019,48792,629952,855338,0.009436716850778848,0.002835057793311835,0.002835057793311835
2020,41715,512307,817674,0.01148155620070912,0.002513386871912715,0.002513386871912715
